,fips,CTYNAME,Percent_Overall,Disparity_White_Male,Disparity_White_Female,Disparity_Black_Male,Disparity_Black_Female,Disparity_Nat_Amer_Male,Disparity_Hispanic_Male,Disparity_Hispanic_Female,Disparity_Asian_Pac_Male,Disparity_Asian_Pac_Female,year
0,1,Accomack County,0.139,-0.042,-0.13,0.483,-0.0,-0.139,-0.139,-0.139,-0.139,-0.139,2010
1,3,Albemarle County,0.057,0.004,-0.048,0.39,0.021,-0.057,0.08,-0.057,-0.057,-0.057,2010
2,5,Alleghany County,0.191,0.052,-0.139,1.637,0.347,-0.191,-0.191,-0.191,-0.191,-0.191,2010
3,7,Amelia County,0.212,0.019,-0.128,0.671,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,2010
4,9,Amherst County,0.173,0.028,-0.112,0.588,-0.141,-0.173,-0.173,-0.173,-0.173,-0.173,2010
5,11,Appomattox County,0.106,0.05,-0.089,0.314,-0.106,-0.106,-0.106,-0.106,-0.106,-0.106,2010
6,13,Arlington County,0.042,-0.007,-0.038,0.408,0.115,-0.042,-0.042,-0.042,-0.042,-0.042,2010
7,15,Augusta County,0.071,0.05,-0.051,0.03,0.036,-0.071,-0.071,-0.071,-0.071,-0.071,2010
8,17,Bath County,0.212,-0.033,0.015,0.557,-0.212,-0.212,-0.212,-0.212,-0.212,-0.212,2010
9,19,Bedford County,0.079,0.025,-0.056,0.548,-0.079,-0.079,-0.079,-0.079,-0.079,-0.079,2010
10,21,Bland County,0.147,-0.033,-0.047,1.384,-0.147,,-0.147,-0.147,-0.147,-0.147,2010
11,23,Botetourt County,0.108,0.02,-0.026,0.43,-0.108,-0.108,-0.108,-0.108,-0.108,-0.108,2010
12,25,Brunswick County,0.144,-0.062,-0.087,0.211,-0.144,-0.144,0.408,-0.144,-0.144,-0.144,2010
13,27,Buchanan County,0.154,0.086,-0.077,-0.154,-0.154,-0.154,-0.154,-0.154,-0.154,-0.154,2010
14,29,Buckingham County,0.088,0.051,-0.027,-0.003,-0.048,-0.088,-0.088,-0.088,-0.088,-0.088,2010
15,31,Campbell County,0.093,-0.021,-0.063,0.495,0.054,-0.093,-0.093,-0.093,-0.093,-0.093,2010
16,33,Caroline County,0.182,0.052,-0.109,0.303,-0.112,-0.182,-0.182,-0.182,-0.182,-0.182,2010
17,35,Carroll County,0.113,0.079,-0.08,0.877,-0.113,-0.113,-0.113,-0.113,-0.113,-0.113,2010
18,36,Charles City County,,,,,,,,,,,2010
19,37,Charlotte County,0.103,0.014,-0.009,0.124,-0.103,-0.103,-0.103,-0.103,-0.103,-0.103,2010
20,41,Chesterfield County,0.115,0.009,-0.076,0.31,-0.045,-0.115,-0.008,-0.106,-0.095,-0.115,2010
21,43,Clarke County,0.107,0.018,-0.06,0.957,-0.107,-0.107,-0.107,-0.107,-0.107,-0.107,2010
22,45,Craig County,0.269,0.086,-0.077,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,2010
23,47,Culpeper County,0.137,-0.019,-0.094,0.554,0.006,-0.137,-0.093,-0.137,-0.137,-0.137,2010
24,49,Cumberland County,0.08,-0.018,-0.08,0.316,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,2010
25,51,Dickenson County,0.227,0.066,-0.061,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,-0.227,2010
26,53,Dinwiddie County,0.125,-0.015,-0.092,0.308,-0.064,-0.125,-0.125,-0.125,-0.125,-0.125,2010
27,57,Essex County,0.09,0.039,-0.06,0.113,-0.046,-0.09,-0.09,-0.09,-0.09,-0.09,2010
28,59,Fairfax County,0.009,0.007,-0.006,0.043,-0.007,-0.009,-0.008,-0.009,-0.006,-0.009,2010
29,61,Fauquier County,0.092,0.007,-0.051,0.509,0.053,-0.092,-0.092,-0.092,-0.092,-0.092,2010
30,63,Floyd County,0.15,0.024,-0.028,-0.15,-0.15,6.993,-0.15,-0.15,-0.15,-0.15,2010
31,65,Fluvanna County,0.062,0.019,-0.062,0.418,-0.062,-0.062,-0.062,-0.062,-0.062,-0.062,2010
32,67,Franklin County,0.174,0.039,-0.088,0.648,-0.089,-0.174,-0.044,-0.174,-0.174,0.502,2010
33,69,Frederick County,0.112,0.038,-0.063,0.627,-0.047,-0.112,-0.036,-0.112,-0.112,-0.112,2010
34,71,Giles County,0.439,0.121,-0.113,0.265,0.336,-0.439,-0.439,-0.439,-0.439,-0.439,2010
35,73,Gloucester County,0.1,0.03,-0.082,0.591,0.022,-0.1,-0.1,-0.1,-0.1,-0.1,2010
36,75,Goochland County,0.046,0.002,-0.034,0.183,-0.046,-0.046,-0.046,-0.046,-0.046,-0.046,2010
37,77,Grayson County,0.187,0.141,-0.148,-0.187,-0.187,-0.187,0.66,-0.187,-0.187,-0.187,2010
38,79,Greene County,0.06,0.038,-0.048,-0.06,0.276,-0.06,-0.06,-0.06,-0.06,-0.06,2010
39,81,Greensville County,0.074,-0.04,-0.074,0.077,-0.037,-0.074,-0.074,-0.074,-0.074,-0.074,2010
40,83,Halifax County,0.185,-0.036,-0.115,0.43,-0.115,-0.185,-0.185,-0.185,-0.185,-0.185,2010
41,85,Hanover County,0.105,0.039,-0.071,0.461,-0.064,-0.105,-0.105,-0.105,-0.105,-0.105,2010
42,87,Henrico County,0.102,0.008,-0.067,0.27,-0.065,-0.102,-0.064,-0.102,-0.053,-0.102,2010
43,89,Henry County,0.148,0.019,-0.072,0.33,-0.1,-0.148,-0.075,-0.148,-0.148,-0.148,2010
44,91,Highland County,,,,,,,,,,,2010
45,93,Isle of Wight County,,,,,,,,,,,2010
46,95,James City County,,,,,,,,,,,2010
47,97,King and Queen County,,,,,,,,,,,2010
48,99,King George County,0.173,-0.098,-0.04,0.781,-0.082,-0.173,-0.173,-0.173,-0.173,-0.173,2010
49,101,King William County,0.188,-0.057,-0.125,0.942,0.011,-0.188,-0.188,-0.188,-0.188,-0.188,2010
50,103,Lancaster County,0.202,-0.043,-0.154,0.683,-0.087,-0.202,-0.202,-0.202,-0.202,-0.202,2010
51,105,Lee County,0.187,0.059,-0.038,-0.187,-0.187,-0.187,-0.187,-0.187,-0.187,-0.187,2010
52,107,Loudoun County,0.028,0.012,-0.018,0.172,-0.004,-0.028,-0.018,-0.028,-0.019,-0.028,2010
53,109,Louisa County,0.141,0.027,-0.104,0.526,-0.108,-0.141,-0.141,-0.141,-0.141,-0.141,2010
54,111,Lunenburg County,0.124,-0.005,-0.098,0.115,0.024,-0.124,-0.124,-0.124,12.376,-0.124,2010
55,113,Madison County,0.075,0.032,-0.058,0.357,-0.075,-0.075,-0.075,-0.075,-0.075,-0.075,2010
56,115,Mathews County,0.178,0.03,-0.056,0.574,-0.178,-0.178,-0.178,-0.178,-0.178,-0.178,2010
57,117,Mecklenburg County,0.15,-0.068,-0.091,0.363,-0.117,-0.15,0.258,-0.15,-0.15,-0.15,2010
58,119,Middlesex County,0.091,0.002,-0.024,0.194,-0.091,-0.091,-0.091,-0.091,-0.091,-0.091,2010
59,121,Montgomery County,0.148,0.023,-0.037,0.649,0.077,-0.148,-0.004,-0.148,-0.148,-0.148,2010
60,125,Nelson County,0.113,0.032,-0.098,0.432,0.077,-0.113,-0.113,-0.113,-0.113,-0.113,2010
61,127,New Kent County,0.129,0.001,-0.036,0.313,-0.043,-0.129,-0.129,-0.129,-0.129,-0.129,2010
62,131,Northampton County,0.185,-0.158,-0.133,0.745,-0.145,-0.185,-0.185,-0.185,-0.185,-0.185,2010
63,133,Northumberland County,0.121,0.014,-0.121,0.421,-0.061,-0.121,-0.121,-0.121,-0.121,-0.121,2010
64,135,Nottoway County,0.101,-0.038,-0.101,0.275,-0.101,-0.101,-0.101,-0.101,-0.101,-0.101,2010
65,137,Orange County,0.122,0.023,-0.073,0.48,-0.076,-0.122,-0.122,-0.122,-0.122,-0.122,2010
66,139,Page County,0.162,0.084,-0.086,0.213,-0.162,-0.162,-0.162,-0.162,-0.162,1.69,2010
67,141,Patrick County,0.168,0.047,-0.087,0.58,0.197,-0.168,-0.168,-0.168,-0.168,-0.168,2010
68,143,Pittsylvania County,0.086,-0.015,-0.061,0.366,-0.072,-0.086,-0.086,-0.086,-0.086,-0.086,2010
69,145,Powhatan County,0.082,-0.017,-0.012,0.146,0.001,-0.082,-0.082,-0.082,-0.082,-0.082,2010
70,147,Prince Edward County,0.098,0.009,-0.057,0.195,-0.073,-0.098,-0.098,-0.098,-0.098,-0.098,2010
